Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01084,0.019995,0.314045,0.8827085,0.860252833,0.797075,0.773799687,0.824033333,0.89483075,0.931316667,0.972164167,0.982146,0.9826955,0.945421,0.893445,0.858123808,0.821619579,0.803783333,0.80265,0.789686389,0.785645349,0.784541075,0.7843475
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,84.37500008,87.50000009,87.50000009,87.50000009,87.50000009,87.50000009,87.5,87.5,80.02608333,78.75,78.75,86.25,90,90,90,90,90,90,92.94833333,119.7091667,120.69075,114.1710833,123.5638333,140.395,158.6666667,171.2554167,181.5125833,208.3026667,242.78,252.6625,249.7575,302.7466667,352.3508333,447.7658333,563.5625,720.6733333,830.3533333,930.7491667,1082.62,1100.9,1081.577167,1028.683553,1081.869683,1185.690833,1230.179167,1230.748333,1261.073333,1442.505625,1555.090833,1546.686667
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,49.05697742,44.01458333,38.9765,38.9515,36.77891667,38.60516667,35.84275,31.49208333,29.31866667,29.24166667,37.12925,45.69058333,51.13166667,57.78391667,59.378,44.67191667,37.33408333,36.76833333,39.404,33.41791667,34.14825,32.1495,34.59652083,33.4564975,29.48001667,30.96151333,35.77389083,36.29864083,,,,,,,,,,,,,,,,
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,7.868842585,7.700184168,7.849815999,8.226002241,12.18618004,15.3991686,15.3751,15.01611667,15.551925,15.45405833,17.98669167,22.11788333,24.615425,25.35393339,27.99459167,30.4069,30.94983333,31.7332486,32.27,34.56880833,36.59618333,38.95075833,39.5672575,40.21173917,40.27831833,41.79416833,43.89211583,46.90565167,49.0854,52.14166667,55.80666667,57.888,58.15004,59.51265833,64.327475,68.93323333,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,77.64140833
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00108,0.000979167,0.00097,,,,,,,,,,,0.00103,0.00094,0.00087,0.00083,0.00084,0.00219,0.01778825,0.023341167,0.027593583,0.054133667,0.067170833,0.177888667,1.681879167,1.760358333,1.836383333,2.123275,2.184708333,2.076975,1.732701667,1.575108917,1.574133333,1.559266667,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,1.4741795
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,0.476189999,0.476189999,0.476189999,0.476189999,0.476189999,0.474796288,0.438597783,0.399630307,0.394739999,0.395499999,0.395599166,0.395649999,0.387453332,0.381617499,0.377000235,0.375999999,0.375999999,0.375999999,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.375999989,0.375999965,0.375999971,0.375999968,0.375999965,0.375999963,0.375999979,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.001700833,0.999999999,1,1,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734055833,1.759667583,1.835795385,2.122859512,2.185659583,2.078170426,1.732932204,1.575157028,1.57272202,1.559071956,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52096667,13.22987667,26.02054958,46.12762,249.2953292,876.75,1390,1790.916667,2051.270833,2160.2575,2153.82,2144.564167,2146.078333,2136.3975,2793.049218,2978.51,4974.633333,8336.898333,8880.0525,10224.1025
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857,1.448411667,1.666670001,1.666670001,1.666670001,1.643682118,1.601561846,1.632683781,1.710926784,1.808043705,2.225673132,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.857142514,0.857142514,0.857142514,0.857142514,0.857142514,0.857142514,0.857142514,0.869047095,1,1,1,0.999999999,1,1,1,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.33E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.04E-05,2.45E-05,2.45E-05,6.41E-05,0.00023163,0.003135909,0.440029008,1.921958333,2.05485,2.350241667,2.691683333,3.17265,3.580608333,3.900516667,4.265083333,4.620516667,4.800341667,5.0746125,5.254258333,5.510133333,5.812408333,6.183541667,6.606916667,7.17,7.659166667,7.936266667,8.0660625,8.011616667,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,6.91
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.10E-14,1.17E-13,1.68E-13,2.49E-13,5.42E-13,8.22E-13,9.61E-13,1.15E-12,1.47E-12,1.76E-12,1.99E-12,2.29E-12,2.57E-12,2.65E-12,2.94E-12,3.52E-12,4.62E-12,6.12E-12,7.82E-12,1.17E-11,2.28E-11,4.03E-11,7.77E-11,2.50E-10,8.00E-10,2.68E-09,5.91E-09,1.70E-08,1.14E-07,1.23E-06,2.96E-05,0.000175961,0.001953024,0.038276611,0.664683514,0.917666667,1.0051,1.077991667,1.160516667,1.813932847,1.829423122,2.349631709,2.920363018,3.077475118,2.92511945,2.434390036,2.175326667,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,2.353358013
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.738099167,2.000000001,2.000000001,2.000000001,1.974876153,1.92128071,1.959220537,2.053230911,2.018866598,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.05226043,2.819555868,2.458579655,2.436866666,2.371299999,2.470841666,2.439399999,2.274024999,2.174558333,2.141208333,2.112691666,2.140024999,2.113049999,2.133083333,2.20015,2.177416667,2.105983333,2.012425,1.950258333,1.812533333,1.72755,1.628966667,1.615790833,1.527444167,1.417375,1.410040833,1.484805833,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,6.359125005,7.500000007,7.500000007,7.500000007,7.500000007,7.491935231,7.594468374,7.742038562,8.101603227,8.375891946,8.960412728,8.738576171,8.192840348,8.125790946,7.862944701,8.658522817,9.455131933,10.09889824,11.36258333,12.36875,12.61083333,12.9615,13.91708333,16.2255,17.505325,22.74243333,25.91808333,30.49329167,31.3737425,32.42707667,35.43317333,36.31328583,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.713320882,0.714694435,0.713265494,0.715287185,0.717258646,0.716334401,0.716983432,0.717049619,0.716998156,0.718057125,0.71641352,0.715216999,0.769122853,0.694114138,0.679477004,0.739507701,0.869564999,0.841959666,0.828156999,0.815006666,0.777224999,0.836738332,1.029660833,1.096925833,1.298373333,1.902566666,1.879144167,1.678940833,1.8285875,2.014885833,1.860465833,2.021556667,2.109725,2.423075,2.6846455,2.772206667,3.324196667,3.650763333,4.22588,4.62439525,5.101815833,5.841158925,6.327800688,4.949928608,4.69288739,5.110354435,5.836571193,6.138819205,6.826856667,7.155137696,6.793621156,6.838235833,7.619141667,8.398908333,8.976083333
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.969783332,1.013066666,1.068766666,1.078508333,1.078608333,1.077983332,1.077316666,1.078708333,1.077475,1.076774999,1.044914999,1.009791666,0.989933333,1.000083332,0.978033332,1.017158333,0.986024999,1.063449999,1.140674999,1.171425,1.169216666,1.198908333,1.233733333,1.232416666,1.295066666,1.365483333,1.3895,1.325991667,1.230708333,1.183991667,1.166775,1.145716667,1.208725,1.290074167,1.365638333,1.372440833,1.363468333,1.384616667,1.483463083,1.485731667,1.48511,1.548760833,1.569318333,1.401051667,1.301019167,1.211763333,1.134363333,1.074099167,1.06704,1.143100557,1.030162783,0.989530692,0.99918831,1.02979657,1.106104944
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.133854168,3.819249999,3.164833332,2.979249999,2.581283332,2.499641666,2.403524999,1.788024999,1.662724999,1.675708333,1.964241666,2.030274999,2.099141666,2.349683333,2.457125,1.798916667,1.491191667,1.4633,1.635925,1.389158333,1.433991667,1.406218333,1.477616667,1.3676925,1.182469167,1.23601,1.4513125,1.449813308,1.502155,1.6888425,1.687615,1.5586075,1.346650833,1.243495833,1.245176667,1.253843333,1.200365833,1.08309,1.088141696,1.042905646,0.888042028,0.937684481,0.926903548,0.916151047
Channel Islands,CHI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.001048969,0.001050136,0.001057636,0.001621786,0.002307433,0.003156658,0.003851138,0.005068269,0.006876466,0.008617582,0.011277504,0.012208644,0.020835225,0.071641908,0.592826261,4.910416667,13.05416667,21.53583333,31.65583333,37.24583333,39,39,50.90833333,78.78833333,98.4775,160.86,192.93,219.4066667,245.0116667,266.9541667,304.9033333,349.2158333,362.5758333,404.1658333,420.1766667,396.7733333,412.2666667,419.295,460.2875,508.7766667,539.5875,634.9383333,688.9366667,691.3975,609.5291667,559.7675,530.275,522.4641667,522.4610358,560.8598948,510.2491667,483.6675,486.4713034,495.2728776,570.3482161
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.461809455,2.245066956,1.989415974,1.961199999,1.859799999,1.941399999,1.857823802,1.683599999,1.554999999,1.498399999,1.704533333,1.892541666,1.975674999,2.320041666,2.936658333,3.452791667,3.7221,3.7221,3.765108333,4.783208333,5.323391667,5.514591667,5.761958333,8.618742667,8.351416667,8.314175,8.289816667,8.278958333,8.27825,8.278504167,8.277068333,8.2769575,8.277036667,8.276800833,8.194316667,7.973438333,7.6075325,6.948655,6.831416052,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094
Cote d'Ivoire,CIV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
"Congo, Rep.",COG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529
Colombia,COL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.634999999,6.699999999,6.901208333,9,9,10.475,13.5,14.50639167,16.29066667,17.32014167,18.4431,19.93193333,21.86564167,23.63698333,26.064125,30.92894167,34.693925,36.77486667,39.09464167,42.549775,47.28030833,54.49055,64.08471667,78.8543,100.8172417,142.3116667,194.2614167,242.6075,299.1738333,382.5680833,502.25925,633.0451667,759.282,863.0646833,844.83589,912.826415,1036.686417,1140.962942,1426.037458,1756.230848,2087.903842,2299.633156,2504.241331,2877.652458,2628.612903,2320.834177,2361.139408,2078.291837,1967.711309,2158.255903,1898.569636,1848.13947,1796.895912,1868.785327,2001.781048
Comoros,COM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1930236,245.2580233,245.0117745,245.0142744,245.0251077,245.0588576,245.6763547,245.9988532,247.5625959,259.9583715,276.4007948,275.3543126,252.0254918,222.8872943,240.7026279,214.3110843,238.9484694,245.6776047,225.653948,212.7198417,211.277765,271.7291499,328.6034681,381.0628069,436.952963,449.2591557,346.302969,300.5340157,297.8456949,319.0055962,272.2624808,282.1045183,264.6895578,283.16018,416.398821,374.3570933,383.6599915,437.7470875,442.4588359,461.7745836,533.9824772,549.7791597,522.7414183,435.9004569,396.2138083,395.6013082,392.1677815,359.4502696,335.8541123,354.139898,371.4579549,353.8997654,382.8955465,370.5302164,370.8114031
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.75000003,28.36017029,27.05341667,24.51516667,25.40816667,25.54325,30.22908333,34.04649167,35.50075,37.433,40.17491667,48.69466667,58.29333333,71.68583333,84.87791667,91.63166667,80.14491667,72.46583333,72.0675,77.97808333,70.03133333,71.40833333,68.01758333,80.42659736,81.89083333,76.85333333,82.59146667,93.17666667,98.1575,103.5024297,119.6871499,123.2278277,117.1675723,97.70298756,88.80759855,88.6703124,87.90071969,80.56739713,75.27854041,79.37712728,83.25880686,79.32330382,85.82243543,83.05086298,83.11388834
Costa Rica,CRI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.615000005,5.951666672,6.625000006,6.625000006,6.625000006,6.625000006,6.625000006,6.625000006,6.625000006,6.625000006,6.625000006,6.625833338,6.634999999,6.646758332,7.929997306,8.569999999,8.569999999,8.569999999,8.569999999,8.569999999,8.569999999,21.76333333,37.40666667,41.09416667,44.53268333,50.45335,55.98589167,62.7762,75.80473333,81.50420833,91.57929167,122.4324167,134.5063333,142.1716667,157.0666667,179.7291667,207.6891667,232.5975,257.2291667,285.6846948,308.1866667,328.8708333,359.8175269,398.6622222,437.935,477.7867415,511.3018179,516.6173902,526.2355134,573.2879567,525.8292007,505.6642399,502.901462,499.7668326,538.3172003
Caribbean small states,CSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
